"BOKU_1","BOKU_2","BOKU_3","BOKU_4","SKG-I_1","SKG-I_2","SKG-I_3","SKG-I_4"
"1.0000","1.4992","3.3185","13.2330","1.0888","6.5597","1.9826","10.1233"
"112.9365","86.9033","77.3118","82.8847","77.4292","109.8480","86.6348","64.9708"
"3.8790","2.9099","4.9900","20.4149","1.5831","5.1638","1.7843","25.4536"
"13.2706","7.7832","1.8023","1.7315","4.4047","15.4536","5.1088","2.2596"
"108.6158","135.4121","79.2407","105.4818","90.2144","64.4782","118.1834","129.2176"
"17.7896","29.1253","35.6396","30.7215","6.8168","26.0184","7.2009","12.9546"
"53.6203","89.7476","135.4157","175.6773","98.6987","49.4831","228.0259","233.1519"
"21.5658","22.2006","21.6596","4.8016","29.6166","80.0513","60.8790","84.1344"
"359.5547","343.5855","319.1092","252.3142","475.5236","519.2271","476.1058","550.6278"
"73.5724","75.0640","155.4155","207.6451","75.3246","113.7667","129.5293","164.0854"
"15.1531","5.2124","35.6485","2.5559","1.8476","6.0523","1.3003","14.4549"
"190.2827","320.7220","502.7958","528.3434","601.9648","440.1550","715.6566","818.3859"
"3.7720","4.6923","9.0843","1.9077","3.6344","7.1408","3.6775","3.9700"
"64.8646","86.8614","67.8071","48.6294","101.3384","77.0578","107.5130","122.9605"
"6.2150","6.0379","6.4725","33.4292","88.8986","81.1651","48.8543","40.0347"
"219.1476","156.8333","280.5095","167.2644","129.8497","96.4888","140.9639","113.7062"
"1396.9900","1347.1100","1235.0900","1159.5700","1828.5300","1669.2300","2018.9400","1975.2800"
"31.0766","60.7486","51.4834","10.6910","49.2023","9.9694","6.8481","58.4149"
"2.4973","11.2553","5.5425","13.9968","410.6054","410.7082","305.4078","263.5846"
"34.2983","8.0732","7.5176","6.7382","54.0019","37.3444","69.8635","78.3038"
"2.2824","7.3278","2.0654","3.0903","2.8705","4.5873","2.5235","3.0786"
"715.8425","943.0075","649.1048","653.3019","488.9032","385.9476","310.3764","0.0000"
"22.1285","8.0470","26.9925","44.4254","70.7249","88.1876","391.1895","375.6372"
"5.8481","2.6791","5.5793","1.9173","985.1998","837.2291","775.6921","713.8582"
"1456.8400","1509.0800","1228.1600","1160.8500","1346.6100","1645.5700","1826.4700","1581.4500"
"90.9160","126.0377","70.6824","43.3013","29.5356","64.9991","69.8969","74.5755"
"12.8459","61.6159","55.5241","48.1935","7.8898","31.3456","59.2955","34.3238"
"53.0353","79.0769","62.2584","61.3715","69.2770","58.0085","60.1977","64.7665"
"655.0737","661.6260","457.0015","369.3015","383.5285","298.5818","188.3436","197.3143"
"53.3719","45.6833","55.2979","79.3562","130.7706","67.5033","134.6699","103.3931"
"31074.40","37931.71","26032.20","34345.05","27318.26","27794.70","27770.94","24941.94"
"610.7932","605.9698","975.6071","900.5382","623.9677","595.1887","751.6130","774.9970"
"25.2316","52.4016","24.9781","31.5204","23.2926","32.5404","2.2319","14.9337"
"777.0356","828.1846","1060.1600","1227.6400","204.3353","258.7593","324.0879","283.5443"
"178.0105","190.2501","685.9600","625.7527","579.6693","593.3393","779.3778","851.2321"
"3602.7100","3842.9000","2785.6100","2851.2800","3497.5500","3536.0400","2991.8600","3103.3300"
"26.8217","13.7564","3.9645","2.8738","2.3333","7.5356","10.5752","2.0655"
"32.7634","49.5207","48.8712","71.8114","72.8937","34.8396","82.4418","54.0967"
"56.7049","70.2310","17.8010","61.0984","45.9883","31.2014","32.2366","28.0802"
"1077.67","1109.01","1011.71","1065.29","1763.44","1908.90","1955.13","1989.71"
"2436.37","2979.58","2694.78","3028.03","2556.49","2623.21","2404.42","2408.54"
"71.1276","123.8375","350.7396","293.2620","415.8273","326.7762","675.7982","698.5331"
"79.5497","56.6423","45.3445","40.9027","59.1938","71.9580","47.3819","56.9914"
"13.7596","3.9504","32.2241","14.8751","39.7927","26.8602","22.9194","28.8846"
"402.3458","404.7871","1003.7000","910.4768","2329.3600","2328.1300","2255.4100","2419.2300"
"405.4766","669.4454","546.9312","799.9072","300.6986","242.2866","252.5519","287.0551"
"30.8650","149.5308","110.3402","143.5942","14.8945","123.6971","129.5566","75.5732"
"10.0908","11.0909","7.3817","37.2425","28.2438","48.6504","20.2787","45.7330"
"13.5510","11.1011","6.4570","10.7712","6.0742","6.3527","3.2292","7.0008"
"31.8092","17.6301","94.9369","66.6383","40.3160","60.8274","58.0796","83.1787"
"71.4941","41.8442","67.8893","95.7381","26.5567","53.3015","60.6193","28.2077"
"788.7125","690.7224","842.4362","947.8338","481.8348","487.8735","460.9013","424.4323"
"201.2928","223.4566","225.2171","202.4559","37.4521","42.8763","190.7973","142.6369"
"36.8584","11.7806","38.0381","16.1350","8.1062","17.5286","23.5750","19.7612"
"140.4379","52.5727","240.7868","155.8697","111.9473","143.3001","66.1799","84.3988"
"9.1061","8.5036","8.6686","8.7163","7.3928","10.3231","11.6073","8.8586"
"578.3076","601.2440","837.2310","682.0200","363.2936","371.5959","277.9062","200.4629"
"3.2361","3.7927","4.7824","8.0895","3.4447","2.8675","4.3413","3.1014"
"288.8773","379.3005","529.7460","483.0506","545.9068","551.6929","1152.9400","1256.6100"
"5.6075","13.6120","9.1838","5.5854","28.5861","31.5073","13.1646","2.5716"
"29.9603","29.2581","213.6530","157.0029","375.0769","284.2627","3399.5000","3570.2900"
"909.9997","1010.7200","519.0773","536.6524","23.9460","35.7529","31.9869","20.1514"
"185.8865","210.2426","176.9404","140.1377","484.6261","604.8861","387.0190","312.4874"
"42.9899","16.1414","5.2937","56.0800","36.7325","29.8502","28.2339","33.5913"
"54.8095","14.8535","60.0119","59.3737","71.9430","37.6203","94.8715","102.7420"
"616.3120","644.7542","595.8416","615.5364","990.7256","1037.7800","595.1197","661.1650"
"36.0973","24.6129","40.4444","46.2830","64.6280","13.5846","42.1517","51.8307"
"7.9237","104.9300","17.2207","18.5120","11.4098","22.9920","11.8401","9.5551"
"132.8465","178.4443","106.8046","109.8672","133.4586","156.0358","76.3575","89.6463"
"436.9217","445.7155","334.2058","370.5694","479.5951","472.4365","430.6821","431.6330"
"32.6645","23.1873","30.3199","7.8839","40.4079","32.8968","20.6461","6.8071"
"3.7795","5.2116","1.7519","4.8836","48.2696","3.5691","20.7949","10.7107"
"32.7989","58.0669","42.1578","49.2845","38.4898","48.1674","66.3131","72.5979"
"11591.8400","12809.3400","11239.6500","12932.2700","14675.6200","16137.7500","14977.1200","15478.6400"
"13.0103","26.9590","4.7375","17.5605","7.6596","3.7455","26.6150","21.5529"
