BOKU_1,BOKU_2
1.04316,9.33739
406.67300,339.24300
405.09070,256.08940
164.81250,113.89230
70.38322,14.72640
743.41100,688.98710
4.70174,2.84128
1742.49000,1671.49000
16.47459,8.42189
872.66440,888.13840
17.17244,21.80281
135.63030,197.86050
7804.55000,7804.76000
30.34504,2.55693
567.21980,475.45460
64.17886,62.11955
8.93365,6.79450
5.29708,9.47028
6.32355,4.29037
41.15170,48.15912
5.67260,39.38857
41.65571,4.05187
84.98156,109.98750
26.67148,34.96593
1.00000,1.02792
6.36365,4.50596
53.52541,68.19482
3.18133,2.98422
6.44412,21.78075
16.75521,34.13781
328.95000,377.83430
99.31397,141.12240
47.16365,12.97026
413.94060,374.67350
62.57111,103.31790
213.91870,187.57910
98.59209,57.81742
142.88270,180.99130
157.24970,174.64310
6.97421,35.45253
72.59263,52.96535
68.60723,71.88879
1671.10000,2520.86000
3.88685,15.35284
4789.74000,4834.14000
43.13983,2.10733
1697.60000,2118.34000
50.19315,61.04480
18.37253,16.74639
31.27671,4.23664
32.54839,36.75575
1873.48000,2015.00000
395.48680,489.07000
83.46729,67.64169
18.24266,12.49597
14355.56000,14759.93000
56.06167,71.93182
56.99070,62.10789
67.16386,61.51508
2.20107,4.27942
3028.26000,3005.52000
2006.77000,2054.77000
10.82208,6.99770
19.39788,31.42231
343.39140,304.95070
602.80990,654.06370
55.10613,26.92764
5.03673,24.28465
31.94182,53.58225
48.35200,32.12645
4011.58000,3454.96000
16.30028,25.48018
862.60130,948.34990
567.03990,400.39820
152.17760,170.52910
3.31320,4.94828
1741.46000,1737.35000
189.63270,209.72120
4.57659,4.35185
5.42845,8.61398
18.67456,42.71178
23.88022,47.69814
811.25350,719.82800
127.00820,100.16350
208.54730,238.00910
46.20372,47.06289
5.20156,8.69796
23.15261,18.06623
1542.52000,1938.92000
16.38440,11.14053
2.27250,8.08652
4.57767,16.79018
36.84128,9.24157
42.49493,40.78714
2375.67000,2021.23000
5.75898,2.04197
703.01960,658.90560
1.44901,4.57800
359.97820,375.84380
18.36373,26.05254
10.57494,36.14547
374.19170,420.50290
1481.44000,1420.50000
5.49936,6.22636
116.75170,110.97990
538.87900,580.51220
2.93316,42.84572
332.28960,311.51090
21.77770,6.57695
15.03796,22.11515
4.35774,24.63625
17.16122,58.39159
11.58064,16.44439
552.78240,550.97500
14.50278,2.05785
126.05280,120.54790
14.09074,18.07136
36.30213,55.62161
3.73213,14.81034
7.66162,25.24160
32.48661,16.66744
29.26355,49.89729
3.05764,4.76551
51.19543,21.98884
40.63324,34.34037
230.38640,245.97300
15.72642,14.21162
469.92080,485.02540
193.82420,230.97080
27.68523,13.74395
9.44061,13.00309
58.75762,104.15540
256.68920,218.20050
362.83770,420.91370
46.54929,64.93005
2.96321,3.70155
3.94713,11.12898
4.47451,23.07201
120.89040,78.79466
37.02639,37.13832
3.09074,5.10234
1.93948,4.02536
21.55791,74.73825
57.68919,41.74245
152.67530,145.09650
10.13459,9.88110
4.51150,6.68361
367.36860,278.04680
133.09470,26.96016
17.84396,15.63046
36.04791,53.35312
1873.93000,1871.58000
558.13030,601.99880
964.15230,970.09340
4159.84000,4011.80000
427.08520,230.32430
87.00882,32.63522
280.88290,291.64990
6.27801,4.53309
5.58549,4.97471
18.57801,14.08312
143.90150,93.45230
182.36530,175.41180
207.05570,245.59740
531.12000,563.27640
17.61657,3.13710
51.66549,16.83148
18528.80000,18233.01000
1.87590,1.18222
1250.06000,1206.26000
1970.17000,2038.07000
36.41914,7.69721
3.90110,4.78631
5.30156,37.71563
51.99074,35.48291
207.05410,225.03680
17667.36000,17972.52000
13680.87000,16545.68000
4278.45000,4687.54000
61.14143,78.25893
54.77259,29.30183
699.22160,663.15720
23.49120,21.86700
101.45120,135.18580
208.38680,218.90980
42.43403,43.46676
436.75710,416.64060
39.89662,67.26053
49.62091,20.94036
5.50319,14.24724
119.64230,178.65080
9.10694,41.34377
151.54640,136.55990
173.19990,139.53480
736.83750,604.98260
13.13494,5.85028
17.37231,68.71333
1271.28000,1437.78000
66.59304,47.30080
46.27556,74.76714
6052.98000,6202.84000
110.08740,160.64750
12.59299,66.11425
650.57580,610.67100
2.97542,19.31678
106.19250,94.78677
2514.81000,2557.82000
3.32135,40.11054
465.32360,507.77820
257.48590,242.74860
74.68607,88.66155
2702.20000,2807.60000
4.99195,2.97760
195.42790,203.97800
14.38516,5.66512
50.34509,47.81990
95.02712,112.68380
1548.38000,1319.72000
85.96762,63.28882
2.16140,11.74830
857.75780,811.45790
7.70498,33.77996
1261.28000,1188.28000
732.51810,652.01210
2.67211,5.71977
10.37904,31.77666
1136.26000,1245.98000
1728.52000,1790.81000
324.97280,244.87110
34.01899,25.78970
3480.80000,3347.31000
2.59191,2.50934
23.02954,72.82588
4.90826,5.09630
82.05701,38.50163
77.75115,54.85037
988.02860,1039.84000
2.79556,9.79943
1.55218,10.01146
33.54723,8.65175
34.29047,121.41740
20.07108,10.30437
1743.85000,1833.44000
950.87190,854.32700
726.75540,936.80870
292.64090,292.90720
25345.08000,26869.06000
31.07080,38.55084
84.98148,90.00099
30.02277,16.40321
